Evolution,Assay,A,umax,Lhr,e0,W,History,trts,mubar,yield,e0.rel
dre,dra,2.4554,0.3045,1.6443075,8.918927536,1.36677985,selected,DEDA,0.112121104,616266622,0.918140135
dre,dra,2.638825,0.2415,0,10.90535825,1.302590201,selected,DEDA,0.091698042,707933523.7,1.123036262
dre,dra,2.30865,0.3015,0.60776125,9.478431372,1.128215551,selected,DEDA,0.105502689,636079710,0.974231011
dre,dra,2.352725,0.2655,0.760589583,10.8631422,1.261939195,selected,DEDA,0.092054397,827165814.3,1.117941337
dre,dra,2.0805,0.2805,0.539849167,9.574434964,1.557004569,selected,DEDA,0.104444806,723391525.2,0.985639483
ypde,dra,1.814775,0.312,0.936360556,8.397498634,1.184216039,alternate,YEDA,0.11908308,683584641.3,0.864698654
ypde,dra,1.804725,0.285,1.467494167,9.36179894,1.097379796,alternate,YEDA,0.106817077,638549208.2,0.962958703
ypde,dra,1.5992,0.2805,2.121262917,2.500945804,1.070163256,alternate,YEDA,0.399848729,976894495.4,0.257198481
ypde,dra,1.97355,0.297,1.512818333,10.55555555,1.163135371,alternate,YEDA,0.094736842,809452095.3,1.087429092
ypde,dra,2.426575,0.225,1.830144167,10.26863605,1.18613838,alternate,YEDA,0.097383917,819423965.8,1.058683105
dre,ypda,2.46245,0.282,0.004914167,4.39113282,1.436864233,alternate,DEYA,0.227731668,17916296.3,0.699939177
dre,ypda,2.638925,0.2835,0.129622083,4.237341292,1.379644094,alternate,DEYA,0.235997039,10444814.81,0.675425066
dre,ypda,2.5674,0.3465,0.188984167,4.551677489,1.397950724,alternate,DEYA,0.219699221,21494814.81,0.725529727
dre,ypda,2.40675,0.348,0.254355417,5.571225086,1.346756053,alternate,DEYA,0.179493735,24449259.26,0.888043897
dre,ypda,2.185225,0.2685,0.649691667,4.080453021,1.523229248,alternate,DEYA,0.245070828,14125925.93,0.65041734
ypde,ypda,2.037225,0.291,1.3440475,3.630613464,1.732411724,selected,YEYA,0.275435546,24256296.3,0.578713672
ypde,ypda,2.06935,0.276,1.553157917,4.031855568,1.507395763,selected,YEYA,0.248024758,22691481.48,0.642670988
ypde,ypda,2.1133,0.249,1.182638333,3.702256335,1.491482138,selected,YEYA,0.270105554,24074814.81,0.590133425
ypde,ypda,2.227875,0.2595,1.117629167,3.244122141,1.537137116,selected,YEYA,0.3082498,23170740.74,0.517107606
ypde,ypda,2.36515,0.2505,0.26985875,3.941792269,1.590974924,selected,YEYA,0.253691705,26610000,0.62831505